Date,Forecast,City
2024-09-01,15.043616304991303,Nagpur
2024-10-01,13.786281144781144,Nagpur
2024-11-01,12.714503215108477,Nagpur
2024-12-01,13.857386243386243,Nagpur
2025-01-01,13.818140211640209,Nagpur
2025-02-01,14.732470899470897,Nagpur
2025-03-01,14.380671957671954,Nagpur
2025-04-01,13.857386243386243,Nagpur
2025-05-01,14.36359788359788,Nagpur
2025-06-01,14.365433862433859,Nagpur
2025-07-01,14.380671957671954,Nagpur
2024-08-01,5.714595276020276,Nashik
2024-09-01,5.325490527990527,Nashik
2024-10-01,4.88393807118807,Nashik
2024-11-01,4.634101380101379,Nashik
2024-12-01,4.748105292855292,Nashik
2025-01-01,4.923249167499167,Nashik
2025-02-01,4.583713453213454,Nashik
2025-03-01,4.823122183372183,Nashik
2025-04-01,4.896697885447884,Nashik
2025-05-01,4.808475663225663,Nashik
2025-06-01,4.906697885447884,Nashik
2025-07-01,4.842697885447884,Nashik
2024-08-01,12.642740931153469,Patna
2024-09-01,11.881924282121831,Patna
2024-10-01,13.7304915856131,Patna
2024-11-01,12.63111575295476,Patna
2024-12-01,12.562254497007974,Patna
2025-01-01,12.513671131462724,Patna
2025-02-01,12.445374142818984,Patna
2025-03-01,14.105809253517245,Patna
2025-04-01,12.942698862933181,Patna
2025-05-01,12.889785045269361,Patna
2025-06-01,12.514464215227948,Patna
2025-07-01,14.28561269082069,Patna
2024-08-01,35.94850154203097,Pune
2024-09-01,41.4950610963111,Pune
2024-10-01,42.32723488085988,Pune
2024-11-01,43.32347297500974,Pune
2024-12-01,43.33553020397216,Pune
2025-01-01,40.10034477884517,Pune
2025-02-01,39.98468635909154,Pune
2025-03-01,41.63496857687375,Pune
2025-04-01,42.33443079874775,Pune
2025-05-01,43.604272680177864,Pune
2025-06-01,42.91664875317893,Pune
2025-07-01,41.132040185820365,Pune
2024-08-01,4.15755735930736,Rajkot
2024-09-01,5.302078115393652,Rajkot
2024-10-01,6.438122895622896,Rajkot
2024-11-01,5.818802408801769,Rajkot
2024-12-01,5.349139941639302,Rajkot
2025-01-01,5.087972132596494,Rajkot
2025-02-01,5.5628871723497655,Rajkot
2025-03-01,5.823062815334233,Rajkot
2025-04-01,5.547333378104798,Rajkot
2025-05-01,5.3357357350071535,Rajkot
2025-06-01,5.352808903668558,Rajkot
2025-07-01,5.684843118364538,Rajkot
2024-08-01,8.441179522346705,Srinagar
2024-09-01,8.908696871283171,Srinagar
2024-10-01,8.456038038758622,Srinagar
2024-11-01,8.918777077497664,Srinagar
2024-12-01,8.500285495006082,Srinagar
2025-01-01,8.899431352072991,Srinagar
2025-02-01,8.325811469032056,Srinagar
2025-03-01,8.26932024096188,Srinagar
2025-04-01,8.40185693997265,Srinagar
2025-05-01,8.752389071583732,Srinagar
2025-06-01,8.899825193940906,Srinagar
2025-07-01,8.906780444501033,Srinagar
2024-08-01,18.649730628304155,Surat
2024-09-01,17.88533994708995,Surat
2024-10-01,18.79184498409228,Surat
2024-11-01,19.53805893299741,Surat
2024-12-01,19.511632363379665,Surat
2025-01-01,19.50557495863842,Surat
2025-02-01,19.976366172054636,Surat
2025-03-01,20.0260828350213,Surat
2025-04-01,19.795232735230023,Surat
2025-05-01,19.64826982395829,Surat
2025-06-01,19.37927090620937,Surat
2025-07-01,19.64790209909057,Surat
2024-08-01,15.276886624097152,Thane
2024-09-01,15.008084685295216,Thane
2024-10-01,14.896865911865907,Thane
2024-11-01,15.088395132645138,Thane
2024-12-01,15.396723054723058,Thane
2025-01-01,15.496796028046031,Thane
2025-02-01,15.363181457431462,Thane
2025-03-01,15.379371933621936,Thane
2025-04-01,15.367801226551231,Thane
2025-05-01,15.386252275502281,Thane
2025-06-01,15.372705266955268,Thane
2025-07-01,15.372705266955268,Thane
2024-08-01,6.400642253715782,Varanasi
2024-09-01,6.320336096093452,Varanasi
2024-10-01,6.966542659510539,Varanasi
2024-11-01,6.540250249034306,Varanasi
2024-12-01,6.888123338091218,Varanasi
2025-01-01,6.453490419438952,Varanasi
2025-02-01,6.470562265721325,Varanasi
2025-03-01,7.7674928698752215,Varanasi
2025-04-01,6.510366487815017,Varanasi
2025-05-01,6.564053111376644,Varanasi
2025-06-01,6.325267008590539,Varanasi
2025-07-01,4.890760599966484,Varanasi
2024-08-01,8.957226254909438,Vasai
2024-09-01,6.14325846211713,Vasai
2024-10-01,6.968922223980197,Vasai
2024-11-01,5.8889001429449,Vasai
2024-12-01,6.356495788601843,Vasai
2025-01-01,6.479032959469044,Vasai
2025-02-01,7.252711529000673,Vasai
2025-03-01,8.129036559590618,Vasai
2025-04-01,7.271132563653611,Vasai
2025-05-01,7.548603729198304,Vasai
2025-06-01,6.600641211210424,Vasai
2025-07-01,6.33830727934708,Vasai
2024-08-01,18.161950863678808,Visakhapatnam
2024-09-01,16.160448412698415,Visakhapatnam
2024-10-01,16.67575667388168,Visakhapatnam
2024-11-01,17.79954365079365,Visakhapatnam
2024-12-01,16.42664748677249,Visakhapatnam
2025-01-01,16.6036534992785,Visakhapatnam
2025-02-01,17.323938492063494,Visakhapatnam
2025-03-01,16.179544312169313,Visakhapatnam
2025-04-01,16.506288419913425,Visakhapatnam
2025-05-01,17.160541666666667,Visakhapatnam
2025-06-01,16.317079365079366,Visakhapatnam
2025-07-01,16.42938365800866,Visakhapatnam
