Date,City,Year of Occurrence,Month of Occurrence,Crime_Count,MA3,Delta,Trend_Slope
2023-06-01,Bangalore,2023,6,82,67.0,25.0,0.013924963924963039
2023-07-01,Bangalore,2023,7,65,68.0,-17.0,0.013924963924963039
2023-08-01,Bangalore,2023,8,62,69.66666666666667,-3.0,0.013924963924963039
2023-09-01,Bangalore,2023,9,63,63.333333333333336,1.0,0.013924963924963039
2023-10-01,Bangalore,2023,10,70,65.0,7.0,0.013924963924963039
2023-11-01,Bangalore,2023,11,68,67.0,-2.0,0.013924963924963039
2023-12-01,Bangalore,2023,12,68,68.66666666666667,0.0,0.013924963924963039
2024-01-01,Bangalore,2024,1,73,69.66666666666667,5.0,0.013924963924963039
2024-02-01,Bangalore,2024,2,57,66.0,-16.0,0.013924963924963039
2024-03-01,Bangalore,2024,3,63,64.33333333333333,6.0,0.013924963924963039
2024-04-01,Bangalore,2024,4,65,61.666666666666664,2.0,0.013924963924963039
2024-05-01,Bangalore,2024,5,61,63.0,-4.0,0.013924963924963039
2024-06-01,Bangalore,2024,6,54,60.0,-7.0,0.013924963924963039
2024-07-01,Bangalore,2024,7,79,64.66666666666667,25.0,0.013924963924963039
2020-01-01,Bhopal,2020,1,10,,,0.027272727272727046
2020-02-01,Bhopal,2020,2,19,,9.0,0.027272727272727046
2020-03-01,Bhopal,2020,3,15,14.666666666666666,-4.0,0.027272727272727046
2020-04-01,Bhopal,2020,4,15,16.333333333333332,0.0,0.027272727272727046
2020-05-01,Bhopal,2020,5,13,14.333333333333334,-2.0,0.027272727272727046
2020-06-01,Bhopal,2020,6,10,12.666666666666666,-3.0,0.027272727272727046
2020-07-01,Bhopal,2020,7,10,11.0,0.0,0.027272727272727046
2020-08-01,Bhopal,2020,8,14,11.333333333333334,4.0,0.027272727272727046
2020-09-01,Bhopal,2020,9,14,12.666666666666666,0.0,0.027272727272727046
2020-10-01,Bhopal,2020,10,8,12.0,-6.0,0.027272727272727046
2020-11-01,Bhopal,2020,11,9,10.333333333333334,1.0,0.027272727272727046
2020-12-01,Bhopal,2020,12,15,10.666666666666666,6.0,0.027272727272727046
2021-01-01,Bhopal,2021,1,11,11.666666666666666,-4.0,0.027272727272727046
2021-02-01,Bhopal,2021,2,5,10.333333333333334,-6.0,0.027272727272727046
2021-03-01,Bhopal,2021,3,13,9.666666666666666,8.0,0.027272727272727046
2021-04-01,Bhopal,2021,4,12,10.0,-1.0,0.027272727272727046
2021-05-01,Bhopal,2021,5,12,12.333333333333334,0.0,0.027272727272727046
2021-06-01,Bhopal,2021,6,17,13.666666666666666,5.0,0.027272727272727046
2021-07-01,Bhopal,2021,7,8,12.333333333333334,-9.0,0.027272727272727046
2021-08-01,Bhopal,2021,8,14,13.0,6.0,0.027272727272727046
2021-09-01,Bhopal,2021,9,15,12.333333333333334,1.0,0.027272727272727046
2021-10-01,Bhopal,2021,10,11,13.333333333333334,-4.0,0.027272727272727046
2021-11-01,Bhopal,2021,11,15,13.666666666666666,4.0,0.027272727272727046
2021-12-01,Bhopal,2021,12,15,13.666666666666666,0.0,0.027272727272727046
2022-01-01,Bhopal,2022,1,9,13.0,-6.0,0.027272727272727046
2022-02-01,Bhopal,2022,2,9,11.0,0.0,0.027272727272727046
2022-03-01,Bhopal,2022,3,16,11.333333333333334,7.0,0.027272727272727046
2022-04-01,Bhopal,2022,4,7,10.666666666666666,-9.0,0.027272727272727046
2022-05-01,Bhopal,2022,5,17,13.333333333333334,10.0,0.027272727272727046
2022-06-01,Bhopal,2022,6,7,10.333333333333334,-10.0,0.027272727272727046
2022-07-01,Bhopal,2022,7,14,12.666666666666666,7.0,0.027272727272727046
2022-08-01,Bhopal,2022,8,10,10.333333333333334,-4.0,0.027272727272727046
2022-09-01,Bhopal,2022,9,13,12.333333333333334,3.0,0.027272727272727046
2022-10-01,Bhopal,2022,10,8,10.333333333333334,-5.0,0.027272727272727046
2022-11-01,Bhopal,2022,11,11,10.666666666666666,3.0,0.027272727272727046
2022-12-01,Bhopal,2022,12,6,8.333333333333334,-5.0,0.027272727272727046
2023-01-01,Bhopal,2023,1,13,10.0,7.0,0.027272727272727046
2023-02-01,Bhopal,2023,2,11,10.0,-2.0,0.027272727272727046
2023-03-01,Bhopal,2023,3,11,11.666666666666666,0.0,0.027272727272727046
2023-04-01,Bhopal,2023,4,18,13.333333333333334,7.0,0.027272727272727046
2023-05-01,Bhopal,2023,5,12,13.666666666666666,-6.0,0.027272727272727046
2023-06-01,Bhopal,2023,6,15,15.0,3.0,0.027272727272727046
2023-07-01,Bhopal,2023,7,16,14.333333333333334,1.0,0.027272727272727046
2023-08-01,Bhopal,2023,8,11,14.0,-5.0,0.027272727272727046
2023-09-01,Bhopal,2023,9,12,13.0,1.0,0.027272727272727046
2023-10-01,Bhopal,2023,10,17,13.333333333333334,5.0,0.027272727272727046
2023-11-01,Bhopal,2023,11,12,13.666666666666666,-5.0,0.027272727272727046
2023-12-01,Bhopal,2023,12,19,16.0,7.0,0.027272727272727046
2024-01-01,Bhopal,2024,1,14,15.0,-5.0,0.027272727272727046
2024-02-01,Bhopal,2024,2,18,17.0,4.0,0.027272727272727046
2024-03-01,Bhopal,2024,3,19,17.0,1.0,0.027272727272727046
2024-04-01,Bhopal,2024,4,9,15.333333333333334,-10.0,0.027272727272727046
2024-05-01,Bhopal,2024,5,14,14.0,5.0,0.027272727272727046
2024-06-01,Bhopal,2024,6,12,11.666666666666666,-2.0,0.027272727272727046
2024-07-01,Bhopal,2024,7,10,12.0,-2.0,0.027272727272727046
2020-01-01,Chennai,2020,1,53,,,-0.006277056277056779
2020-02-01,Chennai,2020,2,31,,-22.0,-0.006277056277056779
2020-03-01,Chennai,2020,3,45,43.0,14.0,-0.006277056277056779
2020-04-01,Chennai,2020,4,52,42.666666666666664,7.0,-0.006277056277056779
2020-05-01,Chennai,2020,5,34,43.666666666666664,-18.0,-0.006277056277056779
2020-06-01,Chennai,2020,6,37,41.0,3.0,-0.006277056277056779
2020-07-01,Chennai,2020,7,52,41.0,15.0,-0.006277056277056779
2020-08-01,Chennai,2020,8,47,45.333333333333336,-5.0,-0.006277056277056779
2020-09-01,Chennai,2020,9,50,49.666666666666664,3.0,-0.006277056277056779
2020-10-01,Chennai,2020,10,42,46.333333333333336,-8.0,-0.006277056277056779
2020-11-01,Chennai,2020,11,38,43.333333333333336,-4.0,-0.006277056277056779
2020-12-01,Chennai,2020,12,42,40.666666666666664,4.0,-0.006277056277056779
2021-01-01,Chennai,2021,1,47,42.333333333333336,5.0,-0.006277056277056779
2021-02-01,Chennai,2021,2,38,42.333333333333336,-9.0,-0.006277056277056779
2021-03-01,Chennai,2021,3,55,46.666666666666664,17.0,-0.006277056277056779
2021-04-01,Chennai,2021,4,56,49.666666666666664,1.0,-0.006277056277056779
2021-05-01,Chennai,2021,5,44,51.666666666666664,-12.0,-0.006277056277056779
2021-06-01,Chennai,2021,6,33,44.333333333333336,-11.0,-0.006277056277056779
2021-07-01,Chennai,2021,7,58,45.0,25.0,-0.006277056277056779
2021-08-01,Chennai,2021,8,54,48.333333333333336,-4.0,-0.006277056277056779
2021-09-01,Chennai,2021,9,37,49.666666666666664,-17.0,-0.006277056277056779
2021-10-01,Chennai,2021,10,46,45.666666666666664,9.0,-0.006277056277056779
2021-11-01,Chennai,2021,11,45,42.666666666666664,-1.0,-0.006277056277056779
2021-12-01,Chennai,2021,12,40,43.666666666666664,-5.0,-0.006277056277056779
2022-01-01,Chennai,2022,1,47,44.0,7.0,-0.006277056277056779
2022-02-01,Chennai,2022,2,42,43.0,-5.0,-0.006277056277056779
2022-03-01,Chennai,2022,3,42,43.666666666666664,0.0,-0.006277056277056779
2022-04-01,Chennai,2022,4,48,44.0,6.0,-0.006277056277056779
2022-05-01,Chennai,2022,5,40,43.333333333333336,-8.0,-0.006277056277056779
2022-06-01,Chennai,2022,6,53,47.0,13.0,-0.006277056277056779
2022-07-01,Chennai,2022,7,53,48.666666666666664,0.0,-0.006277056277056779
2022-08-01,Chennai,2022,8,45,50.333333333333336,-8.0,-0.006277056277056779
2022-09-01,Chennai,2022,9,40,46.0,-5.0,-0.006277056277056779
2022-10-01,Chennai,2022,10,51,45.333333333333336,11.0,-0.006277056277056779
2022-11-01,Chennai,2022,11,62,51.0,11.0,-0.006277056277056779
2022-12-01,Chennai,2022,12,56,56.333333333333336,-6.0,-0.006277056277056779
2023-01-01,Chennai,2023,1,49,55.666666666666664,-7.0,-0.006277056277056779
2023-02-01,Chennai,2023,2,46,50.333333333333336,-3.0,-0.006277056277056779
2023-03-01,Chennai,2023,3,40,45.0,-6.0,-0.006277056277056779
2023-04-01,Chennai,2023,4,47,44.333333333333336,7.0,-0.006277056277056779
2023-05-01,Chennai,2023,5,55,47.333333333333336,8.0,-0.006277056277056779
2023-06-01,Chennai,2023,6,38,46.666666666666664,-17.0,-0.006277056277056779
2023-07-01,Chennai,2023,7,49,47.333333333333336,11.0,-0.006277056277056779
2023-08-01,Chennai,2023,8,41,42.666666666666664,-8.0,-0.006277056277056779
2023-09-01,Chennai,2023,9,48,46.0,7.0,-0.006277056277056779
2023-10-01,Chennai,2023,10,48,45.666666666666664,0.0,-0.006277056277056779
2023-11-01,Chennai,2023,11,45,47.0,-3.0,-0.006277056277056779
2023-12-01,Chennai,2023,12,45,46.0,0.0,-0.006277056277056779
2024-01-01,Chennai,2024,1,38,42.666666666666664,-7.0,-0.006277056277056779
2024-02-01,Chennai,2024,2,44,42.333333333333336,6.0,-0.006277056277056779
2024-03-01,Chennai,2024,3,43,41.666666666666664,-1.0,-0.006277056277056779
2024-04-01,Chennai,2024,4,33,40.0,-10.0,-0.006277056277056779
2024-05-01,Chennai,2024,5,44,40.0,11.0,-0.006277056277056779
2024-06-01,Chennai,2024,6,39,38.666666666666664,-5.0,-0.006277056277056779
2024-07-01,Chennai,2024,7,46,43.0,7.0,-0.006277056277056779
2020-01-01,Delhi,2020,1,94,,,-0.052669552669554344
2020-02-01,Delhi,2020,2,77,,-17.0,-0.052669552669554344
2020-03-01,Delhi,2020,3,120,97.0,43.0,-0.052669552669554344
2020-04-01,Delhi,2020,4,107,101.33333333333333,-13.0,-0.052669552669554344
2020-05-01,Delhi,2020,5,112,113.0,5.0,-0.052669552669554344
2020-06-01,Delhi,2020,6,82,100.33333333333333,-30.0,-0.052669552669554344
2020-07-01,Delhi,2020,7,105,99.66666666666667,23.0,-0.052669552669554344
2020-08-01,Delhi,2020,8,96,94.33333333333333,-9.0,-0.052669552669554344
2020-09-01,Delhi,2020,9,99,100.0,3.0,-0.052669552669554344
2020-10-01,Delhi,2020,10,107,100.66666666666667,8.0,-0.052669552669554344
2020-11-01,Delhi,2020,11,91,99.0,-16.0,-0.052669552669554344
2020-12-01,Delhi,2020,12,98,98.66666666666667,7.0,-0.052669552669554344
2021-01-01,Delhi,2021,1,98,95.66666666666667,0.0,-0.052669552669554344
2021-02-01,Delhi,2021,2,95,97.0,-3.0,-0.052669552669554344
2021-03-01,Delhi,2021,3,101,98.0,6.0,-0.052669552669554344
2021-04-01,Delhi,2021,4,105,100.33333333333333,4.0,-0.052669552669554344
2021-05-01,Delhi,2021,5,102,102.66666666666667,-3.0,-0.052669552669554344
2021-06-01,Delhi,2021,6,94,100.33333333333333,-8.0,-0.052669552669554344
2021-07-01,Delhi,2021,7,92,96.0,-2.0,-0.052669552669554344
2021-08-01,Delhi,2021,8,108,98.0,16.0,-0.052669552669554344
2021-09-01,Delhi,2021,9,96,98.66666666666667,-12.0,-0.052669552669554344
2021-10-01,Delhi,2021,10,94,99.33333333333333,-2.0,-0.052669552669554344
2021-11-01,Delhi,2021,11,101,97.0,7.0,-0.052669552669554344
2021-12-01,Delhi,2021,12,112,102.33333333333333,11.0,-0.052669552669554344
2022-01-01,Delhi,2022,1,103,105.33333333333333,-9.0,-0.052669552669554344
2022-02-01,Delhi,2022,2,101,105.33333333333333,-2.0,-0.052669552669554344
2022-03-01,Delhi,2022,3,87,97.0,-14.0,-0.052669552669554344
2022-04-01,Delhi,2022,4,100,96.0,13.0,-0.052669552669554344
2022-05-01,Delhi,2022,5,109,98.66666666666667,9.0,-0.052669552669554344
2022-06-01,Delhi,2022,6,95,101.33333333333333,-14.0,-0.052669552669554344
2022-07-01,Delhi,2022,7,115,106.33333333333333,20.0,-0.052669552669554344
2022-08-01,Delhi,2022,8,112,107.33333333333333,-3.0,-0.052669552669554344
2022-09-01,Delhi,2022,9,96,107.66666666666667,-16.0,-0.052669552669554344
2022-10-01,Delhi,2022,10,97,101.66666666666667,1.0,-0.052669552669554344
2022-11-01,Delhi,2022,11,94,95.66666666666667,-3.0,-0.052669552669554344
2022-12-01,Delhi,2022,12,99,96.66666666666667,5.0,-0.052669552669554344
2023-01-01,Delhi,2023,1,82,91.66666666666667,-17.0,-0.052669552669554344
2023-02-01,Delhi,2023,2,75,85.33333333333333,-7.0,-0.052669552669554344
2023-03-01,Delhi,2023,3,98,85.0,23.0,-0.052669552669554344
2023-04-01,Delhi,2023,4,89,87.33333333333333,-9.0,-0.052669552669554344
2023-05-01,Delhi,2023,5,96,94.33333333333333,7.0,-0.052669552669554344
2023-06-01,Delhi,2023,6,93,92.66666666666667,-3.0,-0.052669552669554344
2023-07-01,Delhi,2023,7,102,97.0,9.0,-0.052669552669554344
2023-08-01,Delhi,2023,8,100,98.33333333333333,-2.0,-0.052669552669554344
2023-09-01,Delhi,2023,9,73,91.66666666666667,-27.0,-0.052669552669554344
2023-10-01,Delhi,2023,10,93,88.66666666666667,20.0,-0.052669552669554344
2023-11-01,Delhi,2023,11,102,89.33333333333333,9.0,-0.052669552669554344
2023-12-01,Delhi,2023,12,82,92.33333333333333,-20.0,-0.052669552669554344
2024-01-01,Delhi,2024,1,101,95.0,19.0,-0.052669552669554344
2024-02-01,Delhi,2024,2,98,93.66666666666667,-3.0,-0.052669552669554344
2024-03-01,Delhi,2024,3,114,104.33333333333333,16.0,-0.052669552669554344
2024-04-01,Delhi,2024,4,99,103.66666666666667,-15.0,-0.052669552669554344
2024-05-01,Delhi,2024,5,105,106.0,6.0,-0.052669552669554344
2024-06-01,Delhi,2024,6,100,101.33333333333333,-5.0,-0.052669552669554344
2024-07-01,Delhi,2024,7,104,103.0,4.0,-0.052669552669554344
2020-01-01,Faridabad,2020,1,2,,,0.019624819624819555
2020-02-01,Faridabad,2020,2,8,,6.0,0.019624819624819555
2020-03-01,Faridabad,2020,3,6,5.333333333333333,-2.0,0.019624819624819555
2020-04-01,Faridabad,2020,4,4,6.0,-2.0,0.019624819624819555
2020-05-01,Faridabad,2020,5,5,5.0,1.0,0.019624819624819555
2020-06-01,Faridabad,2020,6,5,4.666666666666667,0.0,0.019624819624819555
2020-07-01,Faridabad,2020,7,5,5.0,0.0,0.019624819624819555
2020-08-01,Faridabad,2020,8,10,6.666666666666667,5.0,0.019624819624819555
2020-09-01,Faridabad,2020,9,7,7.333333333333333,-3.0,0.019624819624819555
2020-10-01,Faridabad,2020,10,9,8.666666666666666,2.0,0.019624819624819555
2020-11-01,Faridabad,2020,11,8,8.0,-1.0,0.019624819624819555
2020-12-01,Faridabad,2020,12,5,7.333333333333333,-3.0,0.019624819624819555
2021-01-01,Faridabad,2021,1,9,7.333333333333333,4.0,0.019624819624819555
2021-02-01,Faridabad,2021,2,4,6.0,-5.0,0.019624819624819555
